ID,シリアルナンバー,設置建屋,階,設置場所,ホスト情報,MACアドレス,無線MACアドレス,備考,所属,機種,種別,OS起動種別,貸出PC用MACグループ,情セ管理番号,大学管財番号,4階層図用種別,ベンダー
1879,54015296E,8,3,6201教室,1809,40:c2:ba:46:f7:23,a0:d3:65:45:95:1b,,1,13,10,1,0,,2024-00733(067),2,9
1880,54015307E,8,3,6202教室,1810,40:c2:ba:46:f7:72,a0:d3:65:45:83:a0,,1,13,10,1,0,,2024-00733(068),2,9
1881,54015237E,8,4,6301教室,1807,40:c2:ba:47:08:a7,a0:d3:65:22:0e:07,,1,13,10,1,0,,2024-00733(069),2,9
1882,54015177E,8,4,6302教室,1808,40:c2:ba:47:08:cb,a0:d3:65:22:18:ac,,1,13,10,1,0,,2024-00733(070),2,9
1883,54015323E,8,5,6401教室,1805,40:c2:ba:47:08:b1,a0:d3:65:79:64:4a,,1,13,10,1,0,,2024-00733(071),2,9
1884,54015280E,8,5,6402教室,1806,40:c2:ba:46:f7:be,a0:d3:65:44:e5:76,,1,13,10,1,0,,2024-00733(072),2,9
1885,54015161E,2,3,T201教室,1841,40:c2:ba:47:08:e1,a0:d3:65:20:63:bd,,1,13,10,1,0,,2024-00733(165),2,9
1886,54015245E,12,4,開発作業室,,40:c2:ba:47:08:b8,a0:d3:65:22:0d:e9,2025/5/13 液体こぼしにより故障・回収,1,13,8,1,0,,2024-00733(166),2,9
1887,54015209E,2,3,T203教室,1843,40:c2:ba:47:08:d2,a0:d3:65:22:0f:5b,,1,13,10,1,0,,2024-00733(167),2,9
1888,54015211E,2,3,T204教室,1598,40:c2:ba:47:08:9a,a0:d3:65:22:0d:ad,,1,13,10,1,0,,2024-00733(168),2,9
1889,54015152E,2,3,T205教室,1599,40:c2:ba:46:f7:3b,a0:d3:65:79:61:b1,,1,13,10,1,0,,2024-00733(169),2,9
1890,54015148E,2,4,T301教室,1844,40:c2:ba:46:f7:4b,a0:d3:65:5b:00:59,,1,13,10,1,0,,2024-00733(171),2,9
1891,54015126E,2,4,T302教室,1845,40:c2:ba:46:f7:ac,a0:d3:65:79:61:8e,,1,13,10,1,0,,2024-00733(172),2,9
1892,54015187E,2,4,T303教室,1600,40:c2:ba:46:d4:4c,a0:d3:65:22:0d:b7,,1,13,10,1,0,,2024-00733(173),2,9
1893,54015118E,2,4,T304教室,1601,40:c2:ba:46:f7:69,a0:d3:65:79:4f:14,,1,13,10,1,0,,2024-00733(174),2,9
1894,54015351E,2,4,T305教室,1602,40:c2:ba:47:08:e6,a0:d3:65:45:95:d9,,1,13,10,1,0,,2024-00733(175),2,9
1895,54015147E,2,4,T306教室,1603,40:c2:ba:46:f7:77,a0:d3:65:5b:01:67,,1,13,10,1,0,,2024-00733(176),2,9
1896,54015239E,2,5,T401教室,1604,40:c2:ba:47:08:fa,a0:d3:65:45:83:32,,1,13,10,1,0,,2024-00733(177),2,9
1897,54015224E,2,5,T402教室,1628,40:c2:ba:47:08:ab,a0:d3:65:45:95:43,,1,13,10,1,0,,2024-00733(178),2,9
1898,54015158E,2,5,T403教室,1629,40:c2:ba:47:08:a5,a0:d3:65:5b:01:12,,1,13,10,1,0,,2024-00733(179),2,9
1899,54015178E,3,5,B405教室,1662,40:c2:ba:47:08:d6,a0:d3:65:20:63:d1,,1,13,10,1,0,,2024-00733(181),2,9
1900,54015377E,3,5,B406教室,1663,bc:ec:a0:3f:18:1e,a0:d3:65:22:0d:9e,,1,13,10,1,0,,2024-00733(182),2,9
1901,54015267E,4,6,S508教室,1718,40:c2:ba:46:d4:17,a0:d3:65:20:63:f9,2024/11/19 元patpc106,1,13,10,1,0,,2024-00733(112),2,9
1902,54015223E,12,4,開発作業室,2182,40:c2:ba:46:f7:30,a0:d3:65:22:0e:7a,2024/10/30　bb環境クライアント,1,13,8,3,0,,2024-00733(034),,9
1903,54015295E,12,3,10201教室,2183,40:c2:ba:46:f7:8a,a0:d3:65:45:83:0a,,1,13,10,1,0,,2024-00733(001),2,9
